ModuleOwner,Remote,Category,Project,Branch,LocalPath,Revision,Master_JIRA,PrebuildSRC,SftpURL
NotFound,rtk-prebuilt,ddk,realtek/common/ddk_prebuilt,realtek/android-14/master,kernel/android/U/vendor/realtek/common/graphic,27c52a578ba3ebe8998142ce2c5e5462cdcb0114,RKTC2865PU-27,repo init -u ssh://mm2sd-slave.rtkbf.com:29418/realtek/android/manifest -b realtek/android-14/master -m atv-master.xml>realtek/GPU_DDK/imgTec/3d_graphic_android_24.2_RTM2_6643903;realtek/master;dfa3814,NotFound
jk_wang,rtk-prebuilt,hdcp2,realtek/common/hdcp2_prebuilt,realtek/android-14/master,kernel/android/U/vendor/realtek/common/rtd2851f/prebuilts/api_34/drm/hdcp2,ca2ce28b2f6cfb5ccf24177b6458188ae507e137,RDDB-642,Found_hostVersion_But_Not_New_Format,NotFound
jk_wang,rtk-prebuilt,hdcp2,realtek/common/hdcp2_prebuilt,realtek/android-14/mp.google-refplus.upgrade-11,kernel/android/U/vendor/realtek/common/rtd2851f/prebuilts/api_30/drm/hdcp2,da75d861ccc9fc7670425c4f0070455279e39ae3,RDDB-189,system/drm/hdcp2;realtek/android-11/master;729d1ef,NotFound
jk_wang,rtk-prebuilt,hdcp2,realtek/common/hdcp2_prebuilt,realtek/android-14/master,kernel/android/U/vendor/realtek/common/rtd6748/prebuilts/api_34/drm/hdcp2,ca2ce28b2f6cfb5ccf24177b6458188ae507e137,RDDB-642,Found_hostVersion_But_Not_New_Format,NotFound
jk_wang,rtk-prebuilt,hdcp2,realtek/common/hdcp2_prebuilt,realtek/android-14/mp.google-refplus.upgrade-11,kernel/android/U/vendor/realtek/common/rtd6748/prebuilts/api_30/drm/hdcp2,da75d861ccc9fc7670425c4f0070455279e39ae3,RDDB-189,system/drm/hdcp2;realtek/android-11/master;729d1ef,NotFound
jk_wang,rtk-prebuilt,hdcp2,realtek/common/hdcp2_prebuilt,realtek/android-14/master,kernel/android/U/vendor/realtek/common/rtd2851a/prebuilts/api_34/drm/hdcp2,ca2ce28b2f6cfb5ccf24177b6458188ae507e137,RDDB-642,Found_hostVersion_But_Not_New_Format,NotFound
jk_wang,rtk-prebuilt,hdcp2,realtek/common/hdcp2_prebuilt,realtek/android-14/master,kernel/android/U/vendor/realtek/common/rtd2841a/prebuilts/api_34/drm/hdcp2,ca2ce28b2f6cfb5ccf24177b6458188ae507e137,RDDB-642,Found_hostVersion_But_Not_New_Format,NotFound
jk_wang,rtk-prebuilt,hdcp2,realtek/common/hdcp2_prebuilt,realtek/android-14/mp.google-refplus.upgrade-11,kernel/android/U/vendor/realtek/common/rtd2851a/prebuilts/api_30/drm/hdcp2,da75d861ccc9fc7670425c4f0070455279e39ae3,RDDB-189,system/drm/hdcp2;realtek/android-11/master;729d1ef,NotFound
jk_wang,rtk-prebuilt,hdcp2,realtek/common/hdcp2_prebuilt,realtek/android-14/mp.google-refplus.upgrade-11,kernel/android/U/vendor/realtek/common/rtd2841a/prebuilts/api_30/drm/hdcp2,da75d861ccc9fc7670425c4f0070455279e39ae3,RDDB-189,system/drm/hdcp2;realtek/android-11/master;729d1ef,NotFound
jk_wang,rtk-prebuilt,hdcp2,realtek/common/hdcp2_prebuilt,realtek/android-14/master,kernel/android/U/vendor/realtek/common/rtd2885p/prebuilts/drm/hdcp2,ca2ce28b2f6cfb5ccf24177b6458188ae507e137,RDDB-642,Found_hostVersion_But_Not_New_Format,NotFound
